country,numbers,website
United States,"<a href='tel:1-800-273-8255'>1-800-273-8255</a> or <a href='tel:1-800-784-2433'>1-800-784-2433</a>",<a href='https://suicidepreventionlifeline.org/'>https://suicidepreventionlifeline.org/</a>
United Kingdom,"<a href='tel:116124'>116-123</a>",<a href='http://www.samaritans.org/'>http://www.samaritans.org/</a>
Argentina,"<a href='tel:4783-8888'>4783-8888</a>",""
Armenia,"<a href='tel:2-538-194'>2-538-194</a> or <a href='tel:2-538-197'>2-538-197</a>",""
Australia,"<a href='tel:1800-55-1800'>1800-55-1800</a> or <a href='tel:13-11-14'>13-11-14</a>",<a href='http://www.lifeline.org.au/'>http://www.lifeline.org.au/</a>
Austria,"<a href='tel:142'>142</a> or <a href='tel:01-713-33-74'>01-713-33-74</a>",<a href='http://www.telefonseelsorge.at'>http://www.telefonseelsorge.at</a>
Barbados,"<a href='tel:246-429-9999'>246-429-9999</a>",""
Belgium,"<a href='tel:1813'1813</a>",<a href='https://www.zelfmoord1813.be/'>https://www.zelfmoord1813.be/</a>
Bolivia,"<a href='tel:910-485-4134'>910-485-4134</a>",""
Botswana,"<a href='tel:391-1270'>391-1270</a>",""
Brasil,"<a href='tel:55-11-31514109'>55-11-31514109</a>",<a href='http://www.cvv.org.br/'>http://www.cvv.org.br/</a>
Canada,"<a href='tel:1-800-232-7288'>1-800-232-7288</a>",""
Canada (French),"<a href='tel:1-866-277-3553'>1-866-277-3553</a>",<a href='http://www.cepsd.ca/'>http://www.cepsd.ca/</a>
Chile,"<a href='tel:22-10-10>22-10-10</a> or <a href='tel:21-01-43'>21-01-43</a>",""
China,"<a href='tel:800-810-1117'>800-810-1117</a> or English<a href='tel:021-6279-8990'>021-6279-8990</a>",
Finland,"Finnish:<a href='tel:010-195-202'>010-195-202</a>Foreingers:<a href='tel:09-4135-0501'>09-4135-0501</a>",
France,"<a href='tel:01-45-39-40-00'>01-45-39-40-00</a>",""
Germany,"Protestants <a href='tel:0800-111-00-111>0800-111-00-111</a> Catholics:<a href='tel:0800-111-0-222'>0800-111-0-222</a> Youth/children <a href='tel:0800-111-0-333'>0800-111-0-333</a>",""
India,"<a href='tel:91-22-27546669>91-22-27546669</a>",<a href='http://www.aasra.info/'>http://www.aasra.info/</a>
UK,"<a href='tel:116-123'>116-123</a>",""
Republic of Ireland,"<a href='tel:1850-60-90-90'>1850-60-90-90</a>",""
Ireland,"<a href='tel:116-123'>116-123</a>",""
Isreal,"<a href='tel:1201'>1201</a>",""
Finland,"Finnish:<a href='tel:010-195-202'>010-195-202</a>Foreingers:<a href='tel:09-4135-0501'>09-4135-0501</a>",""
France,"<a href='tel:01-45-39-40-00'>01-45-39-40-00</a>",""
Germany,"Protestants <a href='tel:0800-111-00-111>0800-111-00-111</a> Catholics:<a href='tel:0800-111-0-222'>0800-111-0-222</a> Youth/children <a href='tel:0800-111-0-333'>0800-111-0-333</a>",""
India,"<a href='tel:91-22-27546669>91-22-27546669</a>",<a href='http://www.aasra.info/'>http://www.aasra.info/</a>
UK,"<a href='tel:116-123'>116-123</a>",""
Republic of Ireland,"<a href='tel:1850-60-90-90'>1850-60-90-90</a>",""
Ireland,"<a href='tel:116-123'>116-123</a>",""
Isreal,"<a href='tel:1201'>1201</a>",""
